title,num_rooms,num_bedrooms,type_of_good,total_area,total_land_area,condition,latitude,longitude,city,region,features,url,price,Antenne parabolique,Ascenseur,Chambre rangement,Chauffage central,Cheminée,Climatisation,Concierge,Cuisine équipée,Double vitrage,Entre-seul,Four,Garage,Jardin,Machine à laver,Meublé,Micro-ondes,Piscine,Porte blindée,Réfrigérateur,Salon européen,Sécurité,Terrasse,Vue sur les montagnes,Vue sur mer
A vendre une villa de 1111m² située à Hamem Sousse,7,4,Villa,700,,Bon état,35.8569,10.5972,El Kantaoui,Hammam Sousse,Jardin;Terrasse;Garage;Climatisation;Chauffage central;Cuisine équipée,https://www.mubawab.tn/fr/a/8050147/a-vendre-une-villa-de-1111m%C2%B2-situ%C3%A9e-%C3%A0-hamem-sousse,2800000,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
Une villa de 500m avec un emplacement excellent,7,5,Villa,500,,À rénover,36.7500683453162,10.309974953240188,Ezzahra,Ezzahra,Jardin;Terrasse;Garage,https://www.mubawab.tn/fr/a/7729833/une-villa-de-500m-avec-un-emplacement-excellent,840000,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
Immeuble avec Fort Potentiel à Intilaka 450 MDT,8,6,Maison,350,350.0,À rénover,36.8357541,10.1175982,Cité Snit Nagra,Ettadhamen,Jardin;Garage,https://www.mubawab.tn/fr/a/8050441/immeuble-avec-fort-potentiel-%C3%A0-intilaka-450-mdt,450000,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
A vendre Duplex qui fait le coin,4,4,Villa,200,132.0,Bon état,36.81881,10.16596,El Omrane Supérieur,El Omrane Superieur,Jardin;Terrasse;Garage,https://www.mubawab.tn/fr/a/8028249/a-vendre-duplex-qui-fait-le-coin,310000,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
"Maison à la vente à Sidi Bousaid. 3 chambres agréables. Environnement calme avec vue mer, chauffage central",,3,Maison,180,,Bon état,36.86909529144085,10.347626169960344,Sidi Bousaid,Carthage,Terrasse;Vue sur mer;Vue sur les montagnes;Chambre rangement;Entre-seul;Chauffage central;Cuisine équipée,https://www.mubawab.tn/fr/a/8050777/maison-%C3%A0-la-vente-%C3%A0-sidi-bousaid-3-chambres-agr%C3%A9ables-environnement-calme-avec-vue-mer-chauffage-central,1000800,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True
Villa de Plain Pied à La Marsa,5,3,Villa,170,680.0,Bon état,36.87628104139065,10.31930603615275,La Marsa,La Marsa,Jardin;Terrasse;Garage;Piscine;Chauffage central,https://www.mubawab.tn/fr/a/8050767/villa-de-plain-pied-%C3%A0-la-marsa,1400000,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False
A Vendre Une Villa S6 à Soukra,6,6,Maison,712,,Nouveau,36.88333299999999,10.25,La Soukra,La Soukra,Jardin;Terrasse;Garage;Chambre rangement;Salon européen;Cheminée;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée,https://www.mubawab.tn/fr/a/8021783/a-vendre-une-villa-s6-%C3%A0-soukra,900000,False,False,True,True,True,True,False,True,True,False,False,True,True,False,False,False,False,True,False,True,True,True,False,False
Maison de haut standing à vendre à Skanes. 4 chambres. Climatisation et piscine.,,4,Villa,250,,Nouveau,35.77916069630596,10.811322199151125,Skanes,Monastir Ville,Jardin;Terrasse;Garage;Piscine;Salon européen;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Cuisine équipée,https://www.mubawab.tn/fr/a/7980407/maison-de-haut-standing-%C3%A0-vendre-%C3%A0-skanes-4-chambres-climatisation-et-piscine-,1150000,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,True,False,False
Une villa jumelée,4,3,Villa,250,300.0,Nouveau,36.88833,10.27417,La Soukra,La Soukra,Jardin;Terrasse;Vue sur les montagnes;Piscine;Climatisation;Chauffage central;Double vitrage;Porte blindée;Cuisine équipée,https://www.mubawab.tn/fr/a/8052230/une-villa-jumel%C3%A9e,1400000,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False
A Vendre une Villa S3 à Jardins de Carthage,3,3,Maison,367,,Nouveau,36.833333,10.316667,Les Jardins de Carthage,Le Kram,Terrasse,https://www.mubawab.tn/fr/a/8036073/a-vendre-une-villa-s3-%C3%A0-jardins-de-carthage,1350000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Charmante villa avec piscine djerba,,3,Villa,142,377.0,Nouveau,33.8075978,10.8451467,Djerba,Djerba,Terrasse;Piscine;Meublé;Entre-seul;Salon européen;Antenne parabolique;Climatisation;Sécurité;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,https://www.mubawab.tn/fr/a/8050081/charmante-villa-avec-piscine-djerba,480000,True,False,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False
"Maison plain pied à vendre, Djerba",4,3,Villa,130,400.0,Nouveau,33.8075978,10.8451467,Djerba,Djerba,Jardin;Terrasse;Garage;Chambre rangement;Meublé;Salon européen;Antenne parabolique;Climatisation;Sécurité;Porte blindée;Cuisine équipée,https://www.mubawab.tn/fr/a/8046745/maison-plain-pied-%C3%A0-vendre-djerba,290000,True,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False,True,True,True,False,False
Villa gafsa sud,5,4,Villa,324,,Bon état,34.423146002586066,8.792784655502551,Gafsa Sud,,Jardin;Garage;Chambre rangement;Antenne parabolique;Climatisation;Chauffage central;Cuisine équipée;Four,https://www.mubawab.tn/fr/a/7984151/villa-gafsa-sud,650000,True,False,True,True,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
Un beau chalet à vendre à Ezahra,3,2,Villa,500,,Nouveau,36.91237,11.10203,Hammam Ghezèze,,Jardin;Terrasse;Vue sur mer;Vue sur les montagnes;Concierge,https://www.mubawab.tn/fr/a/8045054/un-beau-chalet-%C3%A0-vendre-%C3%A0-ezahra,320000,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True
A vendre un immeuble à Bouhsina Sousse,7,9,Maison,370,,À rénover,35.832439,10.622471,Sousse Jaouhara,,Jardin;Antenne parabolique;Sécurité;Double vitrage;Porte blindée,https://www.mubawab.tn/fr/a/7926110/a-vendre-un-immeuble-%C3%A0-bouhsina-sousse,700000,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
Splendide villa à vendre à Gammarth,5,3,Villa,328,,Nouveau,36.87638899999999,10.325278000000004,Gammarth,La Marsa,Terrasse;Garage;Ascenseur;Vue sur mer;Vue sur les montagnes;Piscine;Concierge;Salon européen;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Micro-ondes,https://www.mubawab.tn/fr/a/7932547/splendide-villa-%C3%A0-vendre-%C3%A0-gammarth,1960000,True,True,False,True,False,True,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True
Maison à vendre à Manzel Temim,4,3,Maison,100,,Bon état,36.783333,10.983333,Menzel Temime,,,https://www.mubawab.tn/fr/a/8043973/maison-%C3%A0-vendre-%C3%A0-manzel-temim,210000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Maison à vendre à Manzel Temim,5,3,Maison,260,,Bon état,36.783333,10.983333,Menzel Temime,,Terrasse;Garage,https://www.mubawab.tn/fr/a/8044167/maison-%C3%A0-vendre-%C3%A0-manzel-temim,450000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Vente villa de luxe à Gammarth,6,3,Villa,328,,Nouveau,36.87638899999999,10.325278000000004,Gammarth,La Marsa,Terrasse;Garage;Ascenseur;Vue sur mer;Vue sur les montagnes;Piscine;Concierge;Salon européen;Antenne parabolique;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Micro-ondes,https://www.mubawab.tn/fr/a/7932548/vente-villa-de-luxe-%C3%A0-gammarth,1990000,True,True,False,True,False,True,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True
Maison à vendre à Manzel Temim,4,3,Maison,210,,Bon état,36.783333,10.983333,Menzel Temime,,Terrasse;Garage,https://www.mubawab.tn/fr/a/8044188/maison-%C3%A0-vendre-%C3%A0-manzel-temim,210000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Maison à vendre à Manzel Temim,3,2,Maison,100,,Nouveau,36.783333,10.983333,Menzel Temime,,Garage,https://www.mubawab.tn/fr/a/8044235/maison-%C3%A0-vendre-%C3%A0-manzel-temim,210000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Maison jumelée en vente,2,5,Maison,200,,Bon état,35.6776,10.0924,Kairouan Ville,Kairouan Ville,,https://www.mubawab.tn/fr/a/7910404/maison-jumel%C3%A9e-en-vente,230000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Maison à la manouba,10,9,Villa,620,,Bon état,36.81401139295222,10.09123732285096,La Manouba,La Manouba,Jardin;Terrasse;Garage;Chambre rangement;Salon européen;Antenne parabolique;Climatisation;Chauffage central,https://www.mubawab.tn/fr/a/8044455/maison-%C3%A0-la-manouba,1550000,True,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
Maison à vendre Ezzahra,6,5,Maison,630,,Bon état,36.89147,10.16262,Ezzahra,Ezzahra,,https://www.mubawab.tn/fr/a/8044822/maison-%C3%A0-vendre-ezzahra,950000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Maison d'hôte en cours d'achèvement à vendre,5,4,Villa,550,,Nouveau,36.54,10.55,Bou Argoub,,Terrasse;Vue sur mer,https://www.mubawab.tn/fr/a/8045027/maison-d-h%C3%B4te-en-cours-d-ach%C3%A8vement-%C3%A0-vendre,850000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Villa à vendre à kelibia_Mansoura,5,3,Villa,360,,Bon état,36.8493,11.0918,Kélibia,,Jardin;Terrasse;Vue sur mer,https://www.mubawab.tn/fr/a/8045256/villa-%C3%A0-vendre-%C3%A0-kelibia-mansoura,700000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
Maison ancienne à vendre au centre ville kélibia,4,3,Maison,560,,À rénover,36.8493,11.0918,Kélibia,,Jardin,https://www.mubawab.tn/fr/a/8045269/maison-ancienne-%C3%A0-vendre-au-centre-ville-k%C3%A9libia,1800000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Maison pied dans l'eau à vendre à Manzel Temim,8,6,Maison,287,,Bon état,36.783333,10.983333,Menzel Temime,,Terrasse;Vue sur mer,https://www.mubawab.tn/fr/a/8045578/maison-pied-dans-l-eau-%C3%A0-vendre-%C3%A0-manzel-temim,1400000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
